,Movie Title,Director,Actor 1,Actor 2,Actor 3,Budget,Profit / Loss,IMDB Rating,Profitable
17,Pirates of the Caribbean: On Stranger Tides ,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,250000000.0,-8936125,6.7,0
18,Men in Black 3 ,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,225000000.0,-45979146,6.8,0
19,The Hobbit: The Battle of the Five Armies ,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,250000000.0,5108370,7.5,1
20,The Amazing Spider-Man ,Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,230000000.0,32030663,7.0,1
21,Robin Hood ,Ridley Scott,Mark Addy,William Hurt,Scott Grimes,200000000.0,-94780265,6.7,0
22,The Hobbit: The Desolation of Smaug ,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,225000000.0,33355354,7.9,1
23,The Golden Compass ,Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,180000000.0,-109916481,6.1,0
24,King Kong ,Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,207000000.0,11051260,7.2,1
25,Titanic ,James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,200000000.0,458672302,7.7,1
26,Captain America: Civil War ,Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,250000000.0,157197282,8.2,1
27,Battleship ,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,209000000.0,-143826840,5.9,0
28,Jurassic World ,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,150000000.0,502177271,7.0,1
29,Skyfall ,Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,200000000.0,104360277,7.8,1
30,Spider-Man 2 ,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,200000000.0,173377893,7.3,1
31,Iron Man 3 ,Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,200000000.0,208992272,7.2,1
32,Alice in Wonderland ,Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,200000000.0,134185206,6.5,1
33,X-Men: The Last Stand ,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,210000000.0,24360014,6.8,1
34,Monsters University ,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,200000000.0,68488329,7.3,1
35,Transformers: Revenge of the Fallen ,Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,200000000.0,202076689,6.0,1
36,Transformers: Age of Extinction ,Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,210000000.0,35428137,5.7,1
37,Oz the Great and Powerful ,Sam Raimi,Tim Holmes,Mila Kunis,James Franco,215000000.0,19903076,6.4,1
38,The Amazing Spider-Man 2 ,Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,200000000.0,2853933,6.7,1
39,TRON: Legacy ,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,170000000.0,2051787,6.8,1
40,Cars 2 ,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,200000000.0,-8549125,6.3,0
41,Green Lantern ,Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,200000000.0,-83406809,5.6,0
42,Toy Story 3 ,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,200000000.0,214984497,8.3,1
43,Terminator Salvation ,McG,Christian Bale,Bryce Dallas Howard,Common,200000000.0,-74679997,6.6,0
44,Furious 7 ,James Wan,Jason Statham,Paul Walker,Vin Diesel,190000000.0,160034110,7.2,1
45,World War Z ,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,190000000.0,12351611,7.0,1
46,X-Men: Days of Future Past ,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,200000000.0,33914986,8.0,1
47,Star Trek Into Darkness ,J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,190000000.0,38756232,7.8,1
48,Jack the Giant Slayer ,Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,195000000.0,-129828140,6.3,0
49,The Great Gatsby ,Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,105000000.0,39812796,7.3,1
50,Prince of Persia: The Sands of Time ,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,200000000.0,-109244357,6.6,0
51,Pacific Rim ,Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,190000000.0,-88214518,7.0,0
52,Transformers: Dark of the Moon ,Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,195000000.0,157358779,6.3,1
53,Indiana Jones and the Kingdom of the Crystal Skull ,Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,185000000.0,132011114,6.2,1
54,Brave ,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,185000000.0,52282182,7.2,1
55,Star Trek Beyond ,Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,185000000.0,-54531374,7.5,0
56,WALL·E ,Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,180000000.0,43806889,8.4,1
57,Rush Hour 3 ,Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,140000000.0,80850,6.2,1
58,2012 ,Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,200000000.0,-33887833,5.8,0
59,A Christmas Carol ,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,200000000.0,-62149904,6.8,0
60,Jupiter Ascending ,Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,176000000.0,-128624673,5.4,0
61,The Legend of Tarzan ,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,180000000.0,-55948241,6.6,0
62,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,180000000.0,111709845,6.9,1
63,X-Men: Apocalypse ,Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,178000000.0,-23014913,7.3,0
64,The Dark Knight ,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,185000000.0,348316061,9.0,1
65,Up ,Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,175000000.0,117979556,8.3,1
66,Monsters vs. Aliens ,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,175000000.0,23332128,6.5,1
67,Iron Man ,Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,140000000.0,178298180,7.9,1
68,Hugo ,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,170000000.0,-96179906,7.5,0
69,Wild Wild West ,Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,170000000.0,-56254592,4.8,0
70,The Mummy: Tomb of the Dragon Emperor ,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,145000000.0,-42823835,5.2,0
71,Suicide Squad ,David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,175000000.0,-13912817,6.9,0
72,Evan Almighty ,Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,175000000.0,-74710310,5.4,0
73,Edge of Tomorrow ,Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,178000000.0,-77810499,7.9,0
74,Waterworld ,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,175000000.0,-86753780,6.1,0
75,G.I. Joe: The Rise of Cobra ,Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,175000000.0,-24832370,5.8,0
76,Inside Out ,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,175000000.0,181454367,8.3,1
77,The Jungle Book ,Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,175000000.0,187645141,7.8,1
78,Iron Man 2 ,Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,200000000.0,112057433,7.0,1
79,Snow White and the Huntsman ,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,170000000.0,-14888185,6.1,0
80,Maleficent ,Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,180000000.0,61407328,7.0,1
81,Dawn of the Planet of the Apes ,Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,170000000.0,38543795,7.6,1
82,47 Ronin ,Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,175000000.0,-136702695,6.3,0
83,Captain America: The Winter Soldier ,Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,170000000.0,89746958,7.8,1
84,Shrek Forever After ,Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,165000000.0,73371987,6.4,1
85,Tomorrowland ,Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,190000000.0,-96582135,6.5,0
86,Big Hero 6 ,Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,165000000.0,57487711,7.9,1
87,Wreck-It Ralph ,Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,165000000.0,24412677,7.8,1
88,The Polar Express ,Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,165000000.0,-164334574,6.6,0
89,Independence Day: Resurgence ,Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,165000000.0,-62684455,5.5,0
90,How to Train Your Dragon ,Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,165000000.0,52387997,8.2,1
91,Terminator 3: Rise of the Machines ,Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,200000000.0,-49649808,6.4,0
92,Guardians of the Galaxy ,James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,170000000.0,163130696,8.1,1
93,Interstellar ,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,165000000.0,22991439,8.6,1
94,Inception ,Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,160000000.0,132568851,8.8,1
95,The Fast and the Furious ,Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,38000000.0,106512310,6.7,1
96,The Curious Case of Benjamin Button ,David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,150000000.0,-22509198,7.8,0
97,X-Men: First Class ,Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,160000000.0,-13594629,7.8,0
98,The Hunger Games: Mockingjay - Part 2 ,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,160000000.0,121666058,6.6,1
99,The Sorcerer's Apprentice ,Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,150000000.0,-86856188,6.1,0
100,Poseidon ,Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,160000000.0,-99344497,5.6,0
101,Alice Through the Looking Glass ,James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,170000000.0,-93153376,6.4,0
102,Shrek the Third ,Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,160000000.0,160706665,6.1,1
103,Warcraft ,Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,160000000.0,-113021005,7.3,0
104,Terminator Genisys ,Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,155000000.0,-65267965,6.6,0
105,The Chronicles of Narnia: The Voyage of the Dawn Treader ,Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,155000000.0,-50616376,6.3,0
106,Pearl Harbor ,Michael Bay,Jennifer Garner,Jaime King,Mako,140000000.0,58539855,6.1,1
107,Transformers ,Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,150000000.0,168759914,7.1,1
108,Alexander ,Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,155000000.0,-120706229,5.5,0
109,Harry Potter and the Order of the Phoenix ,David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,150000000.0,142000866,7.5,1
110,Harry Potter and the Goblet of Fire ,Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,150000000.0,139994397,7.6,1
111,Hancock ,Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,150000000.0,77946274,6.4,1
112,I Am Legend ,Francis Lawrence,Will Smith,Alice Braga,Willow Smith,150000000.0,106386216,7.2,1
113,Charlie and the Chocolate Factory ,Tim Burton,Johnny Depp,Christopher Lee,David Kelly,150000000.0,56456431,6.7,1
114,Ratatouille ,Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,150000000.0,56435493,8.0,1
115,Batman Begins ,Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,150000000.0,55343774,8.3,1
116,Madagascar: Escape 2 Africa ,Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,150000000.0,29982968,6.7,1
117,Night at the Museum: Battle of the Smithsonian ,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,150000000.0,27243721,5.9,1
118,X-Men Origins: Wolverine ,Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,150000000.0,29883016,6.7,1
119,The Matrix Revolutions ,Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,150000000.0,-10740241,6.7,0
120,Frozen ,Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,150000000.0,250736600,7.6,1
121,The Matrix Reloaded ,Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,150000000.0,131492479,7.2,1
122,Thor: The Dark World ,Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,170000000.0,36360018,7.1,1
123,Mad Max: Fury Road ,George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,150000000.0,3629485,8.1,1
124,Angels & Demons ,Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,150000000.0,-16624154,6.7,0
125,Thor ,Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,150000000.0,31015141,7.0,1
126,Bolt ,Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,150000000.0,-35946421,6.9,0
127,G-Force ,Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,150000000.0,-30579748,5.1,0
128,Wrath of the Titans ,Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,150000000.0,-66359574,5.8,0
129,Dark Shadows ,Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,100000000.0,-20288322,6.2,0
130,Mission: Impossible - Rogue Nation ,Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,150000000.0,45000874,7.4,1
131,The Wolfman ,Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,150000000.0,-88062505,5.8,0
132,The Legend of Tarzan ,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,180000000.0,-55948241,6.6,0
133,Bee Movie ,Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,150000000.0,-23402879,6.2,0
134,Kung Fu Panda 2 ,Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,150000000.0,15230261,7.3,1
135,The Last Airbender ,M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,150000000.0,-18435269,4.2,0
136,Mission: Impossible III ,J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,150000000.0,-16617691,6.9,0
137,White House Down ,Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,150000000.0,-76896216,6.4,0
138,Mars Needs Moms ,Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,150000000.0,-128620685,5.4,0
139,Flushed Away ,David Bowers,Hugh Jackman,Kate Winslet,David Suchet,149000000.0,-84540684,6.7,0
140,Pan ,Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,150000000.0,-115035182,5.8,0
141,Mr. Peabody & Sherman ,Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,145000000.0,-33494358,6.9,0
142,Troy ,Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,175000000.0,-41771652,7.2,0
143,Madagascar 3: Europe's Most Wanted ,Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,145000000.0,71366733,6.9,1
144,Die Another Day ,Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,142000000.0,18201106,6.1,1
145,Ghostbusters ,Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,144000000.0,-25900341,5.5,0
146,Armageddon ,Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,140000000.0,61573391,6.6,1
147,Men in Black II ,Barry Sonnenfeld,Will Smith,Rosario Dawson,Rip Torn,140000000.0,50418803,6.1,1
148,Beowulf ,Robert Zemeckis,Robin Wright,Anthony Hopkins,Sebastian Roché,150000000.0,-67838031,6.3,0
149,Kung Fu Panda 3 ,Alessandro Carloni,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,145000000.0,-1476537,7.2,0
150,Mission: Impossible - Ghost Protocol ,Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist,145000000.0,64364921,7.4,1
151,Rise of the Guardians ,Peter Ramsey,Hugh Jackman,Kamil McFadden,Khamani Griffin,145000000.0,-41599308,7.3,0
152,Fun with Dick and Jane ,Dean Parisot,John Michael Higgins,Richard Burgi,David Herman,100000000.0,10332737,6.1,1
153,The Last Samurai ,Edward Zwick,Tom Cruise,Tony Goldwyn,Chad Lindberg,140000000.0,-28889425,7.7,0
154,Exodus: Gods and Kings ,Ridley Scott,Christian Bale,María Valverde,Ben Mendelsohn,140000000.0,-74992955,6.1,0
155,Star Trek ,J.J. Abrams,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,150000000.0,107704099,8.0,1
156,Spider-Man ,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,139000000.0,264706375,7.3,1
157,How to Train Your Dragon 2 ,Dean DeBlois,Gerard Butler,Djimon Hounsou,America Ferrera,145000000.0,31997107,7.9,1
158,Gods of Egypt ,Alex Proyas,Gerard Butler,Elodie Yung,Bryan Brown,140000000.0,-108858926,5.5,0
159,Stealth ,Rob Cohen,Sam Shepard,Joe Morton,Richard Roxburgh,135000000.0,-103295584,5.0,0
160,Watchmen ,Zack Snyder,Matt Frewer,Billy Crudup,Stephen McHattie,130000000.0,-22496684,7.7,0
161,Lethal Weapon 4 ,Richard Donner,Jet Li,Rene Russo,Darlene Love,140000000.0,-10265197,6.6,0
162,Hulk ,Ang Lee,Kevin Rankin,Regi Davis,Celia Weston,137000000.0,-4877005,5.7,0
163,G.I. Joe: Retaliation ,Jon M. Chu,Channing Tatum,Dwayne Johnson,Elodie Yung,130000000.0,-7487948,5.8,0
164,Sahara ,Breck Eisner,Matthew McConaughey,Rainn Wilson,Delroy Lindo,130000000.0,-61357548,6.0,0
165,Final Fantasy: The Spirits Within ,Hironobu Sakaguchi,Steve Buscemi,Ming-Na Wen,Jean Simmons,137000000.0,-104868170,6.4,0
166,Captain America: The First Avenger ,Joe Johnston,Chris Evans,Dominic Cooper,Hayley Atwell,140000000.0,36636816,6.9,1
167,The World Is Not Enough ,Michael Apted,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,135000000.0,-8069340,6.4,0
168,Master and Commander: The Far Side of the World ,Peter Weir,James D'Arcy,Lee Ingleby,David Threlfall,150000000.0,-56073614,7.4,0
169,The Twilight Saga: Breaking Dawn - Part 2 ,Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,120000000.0,172298923,5.5,1
170,Happy Feet 2 ,George Miller,Robin Williams,Brad Pitt,Common,135000000.0,-71007672,5.9,0
171,The Incredible Hulk ,Louis Leterrier,Ty Burrell,Peter Mensah,William Hurt,150000000.0,-15481610,6.8,0
172,The BFG ,Steven Spielberg,Mark Rylance,Penelope Wilton,Rafe Spall,140000000.0,-87207693,6.8,0
173,The Revenant ,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Lukas Haas,135000000.0,48635922,8.1,1
174,Turbo ,David Soren,Ryan Reynolds,Snoop Dogg,Ben Schwartz,135000000.0,-51975100,6.5,0
175,Rango ,Gore Verbinski,Johnny Depp,Ray Winstone,Stephen Root,135000000.0,-11792806,7.2,0
176,Penguins of Madagascar ,Eric Darnell,Benedict Cumberbatch,Annet Mahendru,Andy Richter,132000000.0,-48651080,6.7,0
177,The Bourne Ultimatum ,Paul Greengrass,Matt Damon,Edgar Ramírez,Albert Finney,110000000.0,117137090,8.1,1
178,Kung Fu Panda ,Mark Osborne,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,130000000.0,85395021,7.6,1
179,Ant-Man ,Peyton Reed,Judy Greer,Hayley Atwell,T.I.,130000000.0,50191634,7.4,1
180,The Hunger Games: Catching Fire ,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,130000000.0,294645577,7.6,1
181,The Twilight Saga: Breaking Dawn - Part 2 ,Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner,120000000.0,172298923,5.5,1
182,Home ,Tim Johnson,Jim Parsons,Matt Jones,April Winchell,135000000.0,42343675,6.7,1
183,War of the Worlds ,Steven Spielberg,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,132000000.0,102277056,6.5,1
184,Bad Boys II ,Michael Bay,Will Smith,Henry Rollins,Jordi Mollà,130000000.0,8396624,6.6,1
185,Puss in Boots ,Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris,130000000.0,19234747,6.7,1
186,Salt ,Phillip Noyce,Angelina Jolie Pitt,Andre Braugher,August Diehl,110000000.0,8311368,6.4,1
187,Noah ,Darren Aronofsky,Anthony Hopkins,Emma Watson,Logan Lerman,125000000.0,-23839471,5.8,0
188,The Adventures of Tintin ,Steven Spielberg,Toby Jones,Mackenzie Crook,Tony Curran,135000000.0,-57435963,7.4,0
189,Harry Potter and the Prisoner of Azkaban ,Alfonso Cuarón,Daniel Radcliffe,Gary Oldman,Rupert Grint,130000000.0,119358727,7.8,1
190,Australia ,Baz Luhrmann,Essie Davis,Bryan Brown,Eddie Baroo,130000000.0,-80448338,6.6,0
191,After Earth ,M. Night Shyamalan,Will Smith,Zoë Kravitz,Glenn Morshower,130000000.0,-69477903,4.9,0
192,Dinosaur ,Eric Leighton,Alfre Woodard,D.B. Sweeney,Della Reese,127500000.0,10248063,6.5,1
193,Night at the Museum: Secret of the Tomb ,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,127000000.0,-13266274,6.2,0
194,Megamind ,Tom McGrath,J.K. Simmons,Brad Pitt,Will Ferrell,130000000.0,18337537,7.3,1
195,Harry Potter and the Sorcerer's Stone ,Chris Columbus,Daniel Radcliffe,Fiona Shaw,Verne Troyer,125000000.0,192557891,7.5,1
196,R.I.P.D. ,Robert Schwentke,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,130000000.0,-96407585,5.6,0
197,Pirates of the Caribbean: The Curse of the Black Pearl ,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,140000000.0,165388685,8.1,1
198,The Hunger Games: Mockingjay - Part 1 ,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,125000000.0,212103873,6.7,1
199,The Da Vinci Code ,Ron Howard,Tom Hanks,Seth Gabel,Jürgen Prochnow,125000000.0,92536138,6.6,1
200,Rio 2 ,Carlos Saldanha,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,103000000.0,28536019,6.4,1
201,X-Men 2 ,Bryan Singer,Hugh Jackman,Bruce Davison,Aaron Stanford,110000000.0,104948780,7.5,1
202,Fast Five ,Justin Lin,Paul Walker,Vin Diesel,Dwayne Johnson,125000000.0,84805005,7.3,1
203,Sherlock Holmes: A Game of Shadows ,Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Paul Anderson,125000000.0,61830669,7.5,1
204,Clash of the Titans ,Louis Leterrier,Liam Neeson,Jason Flemyng,Alexa Davalos,125000000.0,38192114,5.8,1
205,Total Recall ,Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,65000000.0,54412921,7.5,1
206,The 13th Warrior ,John McTiernan,Tony Curran,Vladimir Kulich,Clive Russell,85000000.0,-52305212,6.6,0
207,The Bourne Legacy ,Tony Gilroy,Jeremy Renner,Scott Glenn,Stacy Keach,125000000.0,-11834365,6.7,0
208,Batman & Robin ,Joel Schumacher,Michael Gough,Vivica A. Fox,John Glover,125000000.0,-17714996,3.7,0
209,How the Grinch Stole Christmas ,Ron Howard,Clint Howard,T.J. Thyne,Molly Shannon,123000000.0,137031035,6.0,1
210,The Day After Tomorrow ,Roland Emmerich,Jake Gyllenhaal,Dennis Quaid,Sela Ward,125000000.0,61739919,6.4,1
211,Mission: Impossible II ,John Woo,Tom Cruise,Dougray Scott,Richard Roxburgh,125000000.0,90397307,6.1,1
212,The Perfect Storm ,Wolfgang Petersen,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,140000000.0,42618434,6.4,1
213,Fantastic 4: Rise of the Silver Surfer ,Tim Story,Chris Evans,Ioan Gruffudd,Andre Braugher,130000000.0,1920333,5.6,1
214,Life of Pi ,Ang Lee,Suraj Sharma,Rafe Spall,Tabu,120000000.0,4976634,8.0,1
215,Ghost Rider ,Mark Steven Johnson,Nicolas Cage,Matt Long,Peter Fonda,110000000.0,5802596,5.2,1
